"Output of Amphiprion clarkii genotypes from Philippines 2008. First genotyping attempt: 2009-01-07. GeneMapper project AFG5,6,7,8"								
npops = 20								
nloci = 4								
	AC1359		APR_Cf29		APY_65		NNG_012	
pop = 2_Handumon								
APCL21	240	242	216	218	?	?	?	?
APCL27	240	242	?	?	?	?	111	117
APCL28	240	246	210	212	?	?	?	?
APCL38	242	242	?	?	?	?	111	115
APCL39	240	242	229	229	?	?	?	?
APCL47	240	240	218	224	?	?	?	?
APCL48	240	240	?	?	?	?	?	?
pop = 7_Santander								
APCL49	240	240	?	?	250	256	?	?
APCL50	240	242	210	216	?	?	?	?
APCL52	240	242	210	210	256	262	?	?
APCL53	240	240	210	229	?	?	?	?
APCL54	240	242	210	210	254	256	?	?
APCL55	242	242	212	212	?	?	111	111
APCL56	240	242	210	212	?	?	?	?
APCL57	240	240	210	212	?	?	115	115
APCL58	242	250	210	210	?	?	?	?
APCL59	240	242	210	214	?	?	?	?
APCL60	?	?	210	212	250	254	?	?
APCL61	240	240	216	229	?	?	?	?
APCL62	250	250	?	?	?	?	?	?
APCL63	240	250	207	210	256	256	?	?
APCL64	242	242	212	218	?	?	115	115
APCL65	240	244	207	209	?	?	?	?
APCL67	242	242	210	210	256	256	?	?
APCL68	240	242	210	210	?	?	?	?
APCL69	240	242	210	218	?	?	?	?
APCL70	?	?	?	?	250	254	?	?
pop = 8_Boljoon								
APCL124	240	244	210	210	?	?	?	?
APCL125	240	240	210	210	256	256	?	?
APCL126	240	242	214	216	?	?	111	115
APCL127	240	240	210	229	250	254	115	115
APCL128	242	250	210	229	250	254	115	117
APCL129	240	242	?	?	?	?	115	115
APCL130	240	242	210	210	?	?	115	115
APCL131	240	246	212	218	?	?	?	?
APCL132	240	240	229	229	?	?	?	?
APCL133	242	246	?	?	250	256	111	111
APCL134	242	246	209	210	?	?	111	111
APCL135	240	242	210	218	?	?	111	111
APCL136	240	242	210	218	250	256	111	111
APCL139	240	240	210	218	256	256	111	111
APCL140	240	240	212	216	?	?	111	115
APCL141	242	246	216	229	?	?	115	115
APCL142	240	244	210	218	254	256	111	115
APCL143	240	242	?	?	254	256	?	?
APCL144	240	242	210	210	?	?	111	115
APCL145	240	250	210	210	250	250	111	111
pop = 9_Argao								
APCL88	240	240	214	229	250	254	?	?
APCL89	242	246	210	222	?	?	111	115
APCL90	242	242	209	216	?	?	111	115
APCL91	229	242	?	?	?	?	111	111
APCL92	240	240	?	?	?	?	111	115
APCL93	240	242	210	214	?	?	111	115
APCL94	240	242	212	218	250	256	111	115
APCL95	242	242	210	212	?	?	?	?
APCL96	240	242	210	214	?	?	111	111
APCL97	240	242	210	229	250	254	115	115
APCL100	240	240	207	229	?	?	?	?
APCL101	240	240	212	229	254	256	?	?
APCL102	240	240	210	210	250	256	111	115
APCL103	?	?	?	?	256	262	?	?
APCL104	240	246	212	216	250	256	111	115
APCL105	240	240	210	229	?	?	111	115
APCL106	246	250	210	210	?	?	111	115
APCL107	240	242	220	229	?	?	111	115
APCL108	242	242	212	229	250	250	?	?
APCL111	240	244	216	218	?	?	115	115
pop = 10_Carcar								
APCL199	240	240	209	229	?	?	?	?
APCL200	242	246	210	210	254	256	111	111
APCL201	240	240	210	216	250	256	111	115
APCL202	240	242	207	220	?	?	?	?
APCL203	240	242	210	218	254	256	111	111
APCL204	240	242	210	216	?	?	111	115
APCL205	240	240	210	218	?	?	111	115
APCL206	?	?	?	?	?	?	?	?
APCL207	240	240	209	212	254	254	?	?
APCL208	240	242	209	210	?	?	?	?
APCL212	240	240	210	212	250	256	115	115
APCL217	242	242	210	210	?	?	?	?
APCL218	240	244	210	214	250	256	111	115
APCL219	240	242	?	?	?	?	?	?
APCL220	240	242	210	212	?	?	115	115
APCL221	240	244	210	210	?	?	111	111
APCL222	240	242	210	229	250	256	115	115
APCL223	240	240	229	229	250	250	111	115
APCL224	240	242	201	210	?	?	111	117
APCL225	240	240	210	214	?	?	111	111
pop = 11_Minglanilla								
APCL162	240	242	210	212	?	?	115	117
APCL163	240	240	?	?	?	?	?	?
APCL165	240	240	216	229	?	?	111	117
APCL166	242	242	210	216	?	?	?	?
APCL171	242	242	210	210	248	262	?	?
APCL172	242	242	214	218	?	?	111	111
APCL173	240	246	?	?	?	?	115	115
APCL176	240	242	210	210	250	256	111	115
APCL177	240	242	210	210	?	?	111	111
APCL182	240	242	210	229	?	?	115	115
APCL187	240	242	210	218	?	?	111	115
APCL190	240	240	210	216	250	250	?	?
APCL191	240	240	207	210	?	?	111	111
APCL192	240	246	209	218	250	256	115	117
APCL193	240	242	210	229	?	?	111	115
APCL194	?	?	?	?	?	?	?	?
APCL195	240	242	210	214	?	?	111	113
APCL196	240	240	209	218	256	256	?	?
APCL197	240	240	210	218	?	?	111	111
APCL198	240	240	210	210	250	256	111	111
pop = 13_Danao								
APCL240	240	242	210	212	?	?	115	115
APCL241	242	244	210	210	256	256	111	111
APCL242	?	?	212	229	?	?	?	?
APCL243	240	242	210	229	?	?	?	?
APCL244	240	242	229	229	?	?	111	111
APCL245	242	250	210	210	?	?	111	115
APCL246	240	240	207	209	250	256	?	?
APCL247	240	242	210	229	?	?	?	?
APCL248	240	242	216	229	?	?	?	?
APCL249	240	242	210	212	?	?	113	115
APCL250	240	240	210	212	256	256	111	115
APCL251	240	240	210	212	?	?	111	117
APCL252	246	246	212	220	256	256	115	115
APCL253	240	240	212	216	?	?	111	111
APCL254	240	242	210	229	248	256	111	111
APCL255	242	246	212	218	?	?	111	111
APCL256	240	240	210	210	?	?	?	?
APCL257	240	244	212	214	?	?	?	?
APCL258	240	240	?	?	?	?	115	115
APCL259	240	242	212	212	256	258	111	115
pop = 14_Sogod								
APCL467	240	240	?	?	?	?	111	115
APCL468	240	240	210	216	250	256	111	115
